,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
200810,-24.2274,-19.0014,-15.5482,-18.5575,-22.095,-24.1203,-20.12,-18.9951,-20.3269,-22.381,-18.3099,-15.2573,-18.6667,-21.8051,-21.8183,-20.0217,-22.1317,-16.2731,-20.2128,-25.0929,-19.0107,-12.5029,-17.1988,-16.1011,-16.4551
200811,-15.3501,-12.4709,-13.101,-12.3043,-14.5104,-13.2397,-8.0746,-9.5226,-14.118,-11.9068,-15.5599,-5.6241,-7.2865,-9.9305,-11.1241,-9.1666,-8.2477,-8.9156,-9.574,-9.3573,-9.6954,-3.5104,-6.7242,-7.1559,-8.765
200812,1.3419,3.8003,4.0958,4.797,6.0495,3.8465,5.3375,8.0617,6.3494,5.8288,3.7703,2.0246,3.3041,5.7889,7.3323,5.229,4.79,4.0035,1.4258,5.8207,-1.4225,2.2885,2.0266,0.1671,1.4203
200901,-10.1748,-12.2846,-14.2769,-13.9689,-8.6614,-12.2747,-12.1331,-12.5488,-12.5014,-7.2234,-7.1714,-12.3589,-9.7814,-7.7766,-8.0856,-9.1919,-6.6761,-7.0518,-6.1037,-5.5295,-6.5463,-8.3904,-9.8941,-8.5817,-3.8227
200902,-12.513,-12.481,-14.4802,-11.7481,-12.9907,-14.076,-13.4081,-9.811,-12.8936,-11.2502,-9.9663,-12.0327,-9.988,-8.7216,-9.6251,-9.2794,-10.6957,-6.7727,-9.6613,-9.4078,-7.6445,-10.7805,-11.1707,-11.5216,-5.597
200903,9.5062,7.9864,8.9853,10.0431,11.9378,10.6065,10.1612,7.799,13.4258,9.7771,12.0718,11.0754,9.9127,8.7839,7.6803,6.787,8.2476,8.1027,8.6213,11.1482,9.987,6.0063,7.7702,9.6358,10.7616
200904,22.9691,15.4823,15.4214,15.0668,17.0989,21.4083,10.3595,15.2142,19.2772,15.5872,17.5671,13.6977,13.3283,16.673,15.8157,11.3901,15.5857,12.3344,13.5684,13.6399,12.1415,6.1468,8.5547,8.5203,10.0341
200905,5.1434,4.9128,4.3647,3.9362,6.2076,3.7159,2.1367,1.6485,2.3459,4.9107,0.7203,1.2846,-0.1599,4.3245,3.0686,3.0405,4.3383,2.9642,3.897,6.2998,5.8754,3.8306,4.9117,5.5293,7.8073
200906,3.5921,4.1218,3.2728,4.1136,6.4082,-0.1213,2.5579,0.966,1.0127,3.8227,0.0828,0.5643,0.8255,0.7569,1.0683,0.9734,1.2703,0.9314,-0.2407,0.2517,3.7173,1.1601,-1.1085,-0.4457,0.2269
200907,14.5427,12.1697,8.2447,6.8406,7.8855,13.552,11.5707,8.4742,9.0706,8.9897,11.5562,11.2979,11.0945,8.28,8.6178,14.2888,5.9772,9.9616,7.0669,8.4281,9.5806,6.6992,8.008,7.4285,6.2878
200908,12.1407,4.5547,3.7871,2.2148,3.3012,8.9295,1.8308,3.3577,3.3712,1.2728,5.4586,4.5998,3.393,2.5595,2.1468,8.8503,7.423,5.2652,1.8293,3.3286,5.6729,2.7408,1.7121,3.1711,3.4971
200909,8.8373,7.9714,5.6494,5.0302,5.2996,9.0842,7.8294,3.5658,6.0133,7.0575,5.3662,5.1632,7.7957,7.5432,6.3258,7.3248,6.1859,6.5905,5.1977,7.5013,4.1522,1.4743,5.585,1.6314,4.6849
200910,-11.1118,-7.6916,-5.4534,-6.6352,-8.3769,-9.4793,-7.8533,-6.943,-6.8115,-7.0256,-9.0723,-5.0953,-5.4049,-5.9503,-4.3153,-7.2393,-4.4645,-5.3774,-4.0138,-2.7624,-1.6778,-0.6105,-2.2085,-1.8156,-0.9639
200911,1.8923,2.7248,0.9455,-0.0251,2.1988,3.2972,1.7962,4.0393,2.4664,2.9862,3.586,4.2624,5.2533,3.0352,4.0567,5.2663,3.1879,5.8294,4.1552,4.5964,4.6827,5.8399,6.881,6.6413,5.6627
200912,9.2072,10.1962,7.2593,6.6724,7.1383,11.4399,10.8429,8.6909,7.9727,7.9105,8.9253,7.7418,6.7996,6.9685,6.7025,7.0308,6.0125,4.5877,5.2743,7.0261,1.2834,0.1717,2.1322,1.0005,3.3707
201001,-1.2838,-3.6101,-3.662,-2.0455,-4.2681,-1.7625,-3.6095,-2.5939,-2.7633,-3.1084,-3.6893,-1.6715,-3.4863,-4.3787,-4.1968,-6.0885,-2.7011,-1.3905,-3.3952,-4.2408,-5.7895,-1.8154,-2.4787,-2.6892,-5.4295
201002,6.6112,7.1674,5.4761,4.7637,3.4406,4.5989,3.6377,3.3213,4.219,3.4662,6.3422,5.0558,6.5081,4.2931,5.0561,3.3644,7.6496,5.9452,4.062,5.9642,4.5441,1.8128,3.4114,3.0835,2.7624
201003,10.5875,8.2483,7.5163,7.4813,5.9803,11.1307,7.6045,8.6907,7.9002,7.6524,8.0567,9.4758,7.8285,8.0614,6.6112,8.58,7.9165,9.0928,6.4627,7.7801,7.2094,4.8948,5.8135,4.9554,6.411
201004,12.0291,9.9601,9.1339,6.6544,5.2646,4.757,8.0501,5.2304,5.7687,3.8675,5.2195,3.9147,6.7294,4.5384,3.0874,6.2123,2.8943,6.3436,4.9862,2.0556,2.2525,0.6493,0.2676,1.3046,1.2442
201005,-9.1357,-8.7051,-8.2462,-6.9374,-8.2109,-10.851,-9.1705,-6.101,-6.8894,-6.599,-8.3104,-6.9872,-6.556,-7.5874,-7.5648,-7.1902,-6.768,-8.4989,-6.0785,-7.1007,-7.091,-7.0625,-7.5134,-7.8386,-9.6269
201006,-11.379,-8.0632,-8.0059,-6.7919,-6.8473,-9.2292,-9.3463,-8.5334,-7.218,-7.0741,-9.7666,-6.8299,-6.9869,-6.8129,-6.8734,-9.7883,-7.1468,-6.7831,-4.1961,-6.4927,-7.2662,-3.0111,-3.6453,-5.1815,-6.9518
201007,7.0616,7.9546,5.4932,5.9152,3.6507,9.641,6.6782,8.6212,6.035,5.2814,8.5876,6.7332,8.2118,7.709,5.1031,7.8235,8.2428,7.8184,6.9895,6.439,8.172,8.0739,7.1959,7.382,5.6185
201008,-10.0422,-8.7541,-9.0349,-8.3518,-8.3828,-10.5325,-5.8596,-5.4467,-5.933,-8.5586,-6.9684,-7.8901,-4.5542,-7.1399,-5.1849,-6.3278,-7.625,-5.0622,-3.4634,-3.5055,-5.3957,-7.6964,-4.1627,-4.0728,-2.9199
201009,14.2576,11.3426,11.822,8.7914,10.8453,13.6776,14.6965,11.5885,12.0097,13.6686,14.6871,13.322,11.9674,13.4504,11.601,12.368,10.0418,11.0309,9.7222,11.3936,9.3412,7.7254,8.2001,8.1476,10.3946
201010,5.209,5.1582,3.0135,4.8455,6.7434,1.6852,4.5997,3.1001,4.0801,3.307,3.8734,5.2997,3.3986,4.8519,3.5853,3.9739,2.7478,2.9216,3.5869,3.4562,5.0925,3.674,4.4862,4.205,3.2027
201011,5.1784,3.5386,3.9899,2.332,2.0967,5.7613,3.679,4.2151,3.0048,2.7928,3.7791,6.2143,3.2534,2.8782,3.1909,4.3489,2.4628,1.4388,2.8274,3.0716,1.4613,-0.0558,0.8961,-0.3597,-1.3171
201012,11.0183,9.3799,7.8816,8.32,7.5171,11.6205,7.9914,8.6781,6.551,7.3179,9.8331,8.3251,6.939,7.2795,6.3905,10.3384,8.7305,5.5368,5.9781,6.1428,8.8729,9.5695,6.1801,6.2395,5.048
